BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,1,82,45,0,601,0.46,539,0.516728624535316,752,0.375499334221039,586,0.562393162393162,399,0.633165829145729,454,0.520971302428256,385,0.4296875,413,0.504854368932039,-1,NaN
2,1,83,45,0,781,0.635897435897436,644,0.581648522550544,345,0.482558139534884,569,0.466549295774648,644,0.493001555209953,818,0.567931456548348,422,0.520190023752969,488,0.455852156057495,343,0.596491228070175
2,1,84,45,0,811,0.425925925925926,827,0.319612590799031,611,0.662295081967213,553,0.605072463768116,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,85,45,0,584,0.449399656946827,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,86,45,0,145,0.402777777777778,370,0.655826558265583,539,0.557620817843866,707,0.505665722379603,509,0.496062992125984,785,0.414540816326531,423,0.445497630331754,571,0.433333333333333,496,0.523232323232323
2,1,87,45,0,796,0.528301886792453,899,0.489977728285078,703,0.541310541310541,447,0.517937219730942,639,0.528213166144201,851,0.614117647058824,644,0.573872472783826,-1,NaN,-1,NaN
2,1,88,45,0,850,0.568904593639576,735,0.50408719346049,519,0.528957528957529,791,0.560759493670886,746,0.614765100671141,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,89,45,0,758,0.597093791281374,893,0.39237668161435,741,0.421621621621622,672,0.46795827123696,542,0.500924214417745,951,0.36,623,0.463022508038585,722,0.452149791955617,483,0.535269709543568
2,1,90,45,0,701,0.518571428571429,742,0.446693657219973,723,0.42797783933518,894,0.609182530795073,713,0.578651685393258,841,0.545238095238095,610,0.443349753694581,571,0.492982456140351,486,0.457731958762887
2,1,91,45,0,579,0.262975778546713,861,0.361627906976744,716,0.383216783216783,644,0.186625194401244,826,0.406060606060606,1079,0.282003710575139,-1,NaN,-1,NaN,-1,NaN
2,1,92,45,0,451,0.293333333333333,531,0.415094339622642,347,0.505780346820809,370,0.341463414634146,433,0.388888888888889,501,0.36,388,0.493540051679587,-1,NaN,-1,NaN
2,1,93,45,0,798,0.614805520702635,694,0.564213564213564,453,0.535398230088496,546,0.475229357798165,57,0.553571428571429,1005,0.592629482071713,-1,NaN,-1,NaN,-1,NaN
2,1,94,45,0,702,0.373751783166904,660,0.339908952959029,187,0.397849462365591,680,0.215022091310751,309,0.308441558441558,648,0.319938176197836,325,0.305555555555556,261,0.288461538461538,124,0.609756097560976
2,1,95,45,0,854,0.590855803048066,857,0.335280373831776,819,0.591687041564792,771,0.476623376623377,674,0.325408618127786,904,0.49390919158361,535,0.548689138576779,590,0.468590831918506,424,0.482269503546099
2,1,96,45,0,528,0.436432637571158,745,0.532258064516129,264,0.665399239543726,695,0.553314121037464,550,0.553734061930783,844,0.556346381969158,599,0.545150501672241,648,0.547140649149923,542,0.576709796672828
