,Batch #,Fly ID,Date,Day,Drug Treatment,nTurns,rBias
484,1,5,5/13,10,TrH,28,0.4814814815
485,1,6,5/13,10,TrH,139,0.4927536232
486,1,7,5/13,10,TrH,45,0.4772727273
487,1,8,5/13,10,TrH,20,0.42105263159999995
488,1,9,5/13,10,TrH,40,0.4615384615
489,1,10,5/13,10,TrH,2,1.0
490,1,11,5/13,10,TrH,2,0.0
491,1,12,5/13,10,TrH,-1,
492,1,13,5/13,10,TrH,33,0.34375
493,1,14,5/13,10,TrH,48,0.4893617021
494,1,15,5/13,10,TrH,46,0.44444444439999997
495,1,16,5/13,10,TrH,63,0.5322580645
496,1,17,5/13,10,TrH,61,0.4833333333
497,1,18,5/13,10,TrH,55,0.5925925926
498,1,19,5/13,10,TrH,148,0.37414965990000004
499,1,20,5/13,10,TrH,54,0.6226415094
500,1,21,5/13,10,TrH,42,0.5121951220000001
501,1,22,5/13,10,TrH,34,0.5454545454999999
502,1,23,5/13,10,TrH,15,0.42857142859999997
503,1,24,5/13,10,TrH,208,0.5458937198
504,1,25,5/13,10,TrH,51,0.4
505,1,26,5/13,10,TrH,249,0.6129032258
506,1,27,5/13,10,TrH,516,0.5067961165
507,1,28,5/13,10,TrH,203,0.43564356439999996
508,1,29,5/13,10,TrH,43,0.5238095238
509,1,30,5/13,10,TrH,83,0.5609756097999999
510,1,31,5/13,10,TrH,227,0.4513274336
511,1,32,5/13,10,TrH,213,0.3962264151
512,1,33,5/13,10,TrH,19,0.44444444439999997
513,1,34,5/13,10,TrH,197,0.5510204082
514,1,35,5/13,10,TrH,16,0.4
515,1,36,5/13,10,TrH,18,0.5294117647
516,1,37,5/13,10,TrH,32,0.5161290323
517,1,38,5/13,10,TrH,58,0.49122807020000003
518,1,39,5/13,10,TrH,55,0.5
519,1,40,5/13,10,TrH,144,0.5804195804
520,1,41,5/13,10,TrH,93,0.5
521,1,42,5/13,10,TrH,52,0.568627451
522,1,43,5/13,10,TrH,52,0.4901960784
523,1,44,5/13,10,TrH,63,0.5
